user_id	interested_news_id
U10129	N2078
U1013	N13922 N26606 N64955
U10130	N32643 N38014 N38701 N871 N9674
U10132	N27526
U10133	N10559 N41122 N42028 N43263 N49549 N51692 N55582 N61032 N62009
U10134	N61214
U10135	N1080 N1171 N15799 N32783 N58775 N8572
U10137	N5290
U10138	N32754 N41881 N48742 N52500 N8148
U10140	N22525 N63619
U10141	N30721 N8148
U10142	N45020 N5270 N52783 N54469 N62546 N9854
U10144	N33617
U10145	N30802 N49699 N53585 N54842 N63119 N63656 N8148
U10146	N21119
U10147	N19982 N35729
U10149	N10897 N15034 N23414 N23554 N27784 N28058 N41298 N44251 N53585 N54497 N5791 N8148
U1015	N19347 N20495 N27510 N3128 N38330 N4255 N7535
U10151	N13853 N19776 N51692
U10153	N3930 N40839 N42457 N63991
U1016	N17070 N22029 N44361 N50027 N64626
U10160	N23887 N35729
U10163	N10897 N12194 N32641
U10164	N29249 N47544
U10165	N1362 N32101 N54497
U10166	N21970 N26606 N28058 N32643 N37857 N46357 N57987 N6750
U10167	N21019 N261 N38215
U10168	N10629 N2201 N30817 N58641 N60615
U10169	N13139 N14761
U1017	N14741 N17109 N63582 N64955 N8275 N8940
U10170	N63970
U10174	N11204 N16189 N20988 N23305 N30225 N43643 N52398 N61103
U10178	N14191 N34628
U10179	N25064
U1018	N35729
U10181	N21993 N32643 N34869 N43628 N45523
U10182	N10812 N15855 N25471 N267 N4247 N47508 N53296 N57886
U10184	N15394 N23305
U10185	N18285 N19982 N32874 N40839 N43955 N45523 N51706 N57582 N63970 N64513 N65185 N8148
U10188	N25225 N28735 N42512 N43541 N5497 N59923 N61296
U10189	N36251 N63835
U1019	N24538 N4404 N62318 N64273
U10191	N10559 N13429 N267 N27143 N34113 N35607 N36739 N42457 N54522 N56586 N7328
U10194	N25258 N3501
U10196	N53585 N8855
U10198	N10629 N34476 N48120
U10199	N37811 N51706 N53470 N59231
U10201	N14724 N25258 N29544 N5270 N54594 N55204 N55582 N59470 N61573 N63835
U10202	N28702 N35729 N40442
U10204	N32074 N42362
U10207	N871
U10209	N11480 N11708 N1825 N21970 N45523 N53057 N8148
U1021	N11551 N3128 N49009 N9763
U10213	N14724 N51706
U10214	N22952
U10216	N32273 N34888 N36228 N37120 N41526 N49111 N53354 N54469 N57557 N8834
U10217	N1171 N11795 N39677
U10218	N36813 N63583 N64783 N7829
U1022	N40716
U10220	N10812 N54842
U10226	N13060
U10229	N38032 N53585
U10230	N63970 N704
U10231	N13826 N33308 N37905 N60308
U10232	N19174 N30142 N60645
U10233	N13826 N16215 N1825 N18285 N19347 N21383 N2823 N29597 N2994 N35729 N40839 N41881 N42457 N45523 N57582 N59922 N63376 N63970 N7062 N8983 N9343
U10234	N13429 N14761 N27526
U10237	N18285 N18327 N2306 N40839 N4247 N43671 N63054
U10239	N20824 N63970
U10241	N21771 N40077 N4690 N4896 N53585
U10243	N40716 N52962
U10244	N38701 N43955 N48699 N48829 N64955 N871
U10245	N14761 N61404
U10248	N18378 N55582
U10252	N40837 N53585
U10253	N38701
U10256	N37586 N48615 N63970 N6622
U10257	N26758 N41258 N41380 N56889 N63970
U10259	N2078 N33361
U10261	N21685 N26655 N28702 N3128 N33117 N33485 N724 N871
U10262	N15765 N31743 N38526 N40555 N45388 N55897 N58264
U10265	N11228 N11405 N18285 N28828 N36751 N37857 N40791 N46858 N58698
U10267	N41881
U10269	N41298 N41881 N42528
U1027	N13710 N13968 N1637 N22976 N48742 N50778 N63970
U10272	N29021 N29954 N3086 N54911 N60091
U10276	N11551 N19638 N37033
U10279	N31147
U1028	N15855 N17340 N19823 N20495 N23414 N37620 N37905 N42457 N45523 N56586 N57886 N5791 N60932
U10280	N10843 N12493 N20824 N30884 N34848 N37889 N38159 N3930 N39978 N40442 N42143 N46444 N48657 N48742 N48920 N49699 N52879 N53585 N55897 N59922 N61022 N64273 N8148
U10281	N3259 N32641 N52631 N8148
U10285	N14366 N19562 N22018 N25791 N26721 N30163 N42259 N42508 N50580 N64783
U10286	N23414
U10289	N32643
U10292	N28910 N63854
U10294	N16533 N21202 N36888 N41421 N48120 N51388 N54048 N9666
U10295	N57754 N9854
U10297	N40286
U10299	N10235 N11273 N17262 N21460 N27526 N31883 N38832 N53907 N60186 N62682 N6285
U103	N48077 N871 N9641
U1030	N10986 N13827 N14191 N14512 N18106 N22353 N22880 N26682 N34069 N37377 N37748 N37889 N40973 N4428 N52500 N54980 N6617
U10300	N871
U10303	N22004 N3128 N39683 N8908
U10304	N14742 N37690
U10305	N14761 N1825 N30867 N32109 N45523 N54842
U10306	N13981 N14191 N16842 N24689 N28058 N29948 N31070 N36489 N37324 N39677 N40716 N41258 N45523 N46990 N48742 N52962 N53341 N55897 N59961 N60550
U10307	N29468
U10309	N16804 N18005 N37738 N59319
U1031	N15023 N24187 N3778 N37811 N42726 N49704 N51706 N53585 N8148
U10311	N14742 N19347 N40442 N871
U10313	N13876 N20495 N26758 N28353 N29182 N29380 N32485 N3500 N54077 N56889 N58641 N5962
U10315	N14338 N15655 N35729
U10317	N3375
U10318	N41881
U1032	N39842 N43087 N59085 N7780
U10320	N28229 N35729
U10321	N2878 N39421
U10327	N1056 N16793 N41881
U1033	N12709 N13710 N48699 N51692 N5325 N64408 N7328
U10332	N22924 N38159 N54469 N8148
U10333	N23547 N30842 N35729 N40716 N53354 N61404 N871
U10334	N13923
U10335	N29128 N29468 N37377 N51305 N53354 N55204 N60186 N64955 N8834
U10336	N40716 N45999 N4936
U10338	N10843 N12859 N1853 N19236 N19303 N21383 N2306 N25554 N35729 N38182 N38215 N40760 N43955 N45016 N47508 N47545 N53470 N54842 N54980 N55497 N58264
U10339	N12411
U10341	N35729 N48325 N51706 N58641 N61880
U10342	N49111 N8148
U10346	N18863 N22772 N25415 N41298 N4524 N46337 N54594 N58264 N64273
U10347	N28058 N39787
U10348	N14724 N33828 N871
U10350	N11405 N12805 N19716 N21741 N26075 N26250 N27464 N28058 N28144 N34069 N3471 N3541 N35729 N38179 N40344 N40716 N43675 N46337 N46990 N48742 N51111 N55043 N57457 N59416 N61103 N63034 N64408 N812 N8148 N871
U10351	N40442
U10352	N871
U10354	N20342
U10355	N42457
U10358	N27581
U10361	N19238 N21554 N45020 N45395 N4569 N52471 N57491 N58113 N62634
U10363	N4690 N55582
U10364	N61103 N6622
U10365	N10235 N14742 N55897 N6656
U10366	N10235 N11551 N17070 N28144 N37857 N40716 N51706 N55043
U10369	N16804 N20758 N35729 N48742
U10372	N20392 N245 N44361 N45523 N54497
U10374	N18285 N62634
U10375	N27581 N3259 N51706 N6225
U10376	N26272 N27526 N35729
U10377	N23376 N3863 N39263 N6939
U10379	N14314 N48925
U1038	N26272 N40716 N55897 N6471
U10384	N32691 N38219 N47814 N62838
U10389	N22260 N40555 N60646
U1039	N15655 N20569 N28467 N37585 N51706 N61103 N64273
U10391	N1914 N47378 N47556 N49091 N58641 N840 N8422
U10392	N19347 N20207 N20746 N2782 N35729 N42079 N42457 N46984 N49198 N53470 N53585 N57582 N61363 N61449 N61880 N6225 N63491 N63854 N65185
U10393	N24614 N45736 N51938 N60879 N61022
U10396	N10501 N16976 N17109 N17365 N18978 N20824 N27608 N29034 N2937 N31057 N31127 N31145 N3158 N31919 N32641 N33117 N34533 N43524 N48682 N48742 N51388 N52415 N54980 N55563 N5902 N9674
U104	N17786
U10401	N25761 N59436
U10402	N54522 N63034
U10404	N11074 N16244 N1670 N17770 N21510 N25791 N30725 N32641 N33922 N41034 N49365 N61275 N62055 N64783
U10406	N12822 N18587 N27526 N54022 N8985
U10407	N22270
U10408	N16215 N26250 N26636 N61267
U1041	N27096 N38701 N41881 N42137
U10410	N56889
U10414	N17109 N21685 N22260 N25313 N35323 N48699 N7333 N8148
U10415	N5325 N54842 N63970
U10416	N11273 N35729
U10418	N40839
U10419	N10843 N11175 N47556 N56889 N63034
U1042	N62620
U10420	N52631
U10422	N18285 N29597 N61404
U10424	N28576 N28936 N2994 N30867
U10426	N18714 N23971 N31106 N4247 N50538
U10427	N26714 N43092
U10429	N35729
U10436	N27907 N28720 N32927 N44361 N47801 N50513 N62366
U10438	N12330 N19903 N24187 N27285 N29544 N31181 N4690 N51680 N51706 N60346 N60445 N62395 N7328 N740
U10439	N10629 N15023 N54980
U1044	N35729
U10440	N62055
U10447	N42726 N63970
U10448	N47981 N55582
U1045	N31099 N42726 N48690 N61267
U10450	N12489 N1838 N20495 N2511 N3142 N42376 N4332 N52626 N59688 N902
U10451	N38701 N51706 N60383 N6225
U10455	N45999 N57754 N5869 N62318
U10457	N14400 N22880 N43671 N9340
U1046	N35729
U10461	N52500
U10466	N25761 N64273 N8422
U10467	N1670 N24187 N49710 N51983 N57582
U1047	N44361
U10472	N10764 N27662 N36888 N48925 N57754
U10473	N10088 N33861 N63582
U10474	N37857 N58203
U10475	N60550
U10476	N13335 N28467 N41651 N43436 N54422
U10477	N1637 N28467 N29597 N60094
U1048	N12278 N21977 N24187 N25173 N38491 N46768 N48699 N50575 N52339 N57300
U10482	N10616 N17115 N26103 N27526 N40716
U10487	N54497 N58871
U10489	N11786 N12859
U10490	N18978 N62634
U10491	N6656
U10496	N16793 N17109 N17822 N21019 N38182 N40254 N42528 N43191 N46063 N48077 N54469 N63119 N63180
U10498	N13993 N43704 N58641
U10499	N16160 N27526
U105	N21019 N6103
U1050	N40839 N41881 N5526
U10502	N12469 N25113 N36780 N56011 N57886 N64273
U10505	N34564 N41045 N53585 N55940 N58569 N63854 N871
U10506	N20916 N21958 N34069 N40716 N55192 N58641
U10507	N35729 N40839 N62318 N63970
U10509	N3243
U1051	N52896 N9674
U10510	N35729
U10511	N14761
U10515	N10629 N11551 N12330 N33667 N37120 N37377 N56573 N8148
U10516	N17770 N38215 N3841 N64273
U10519	N18378 N37378 N4159
U1052	N14176 N20917 N22260 N23108 N23986 N27864 N41298 N45999 N4962 N51706 N56736 N57012 N60364 N62055 N62546 N63554 N64241 N7649
U10520	N10843 N34997 N40453 N61267
U10522	N18069 N19982 N20495 N32906 N48925
U10524	N21895 N34415 N51706 N53585 N871
U10529	N31213 N32109 N35729 N53057
U1053	N35729
U10530	N28699 N38330 N40555 N52121
U10532	N28058
U10534	N16160 N23380 N27608 N28320 N28702 N28796 N32285 N37033 N4250 N48699 N4936 N50019 N55043 N5791 N6107 N6225 N63053 N7879
U10536	N54594
U10540	N25761 N42076
U10541	N29804
U10542	N21178 N3500
U10543	N21460 N51692
U10545	N42457
U1055	N22344 N3028 N34069 N40716
U10550	N11155 N16189 N32109 N45331 N53585 N53789 N61022
U10552	N15034 N29197 N51706
U10554	N11484 N14314 N38138 N41578 N55582
U10555	N53585
U10560	N51706 N65039 N6702 N7328
U10563	N11285 N11699 N22260 N22976 N28828 N31090 N34069 N34869 N37011 N37889 N38039 N38330 N40716 N45758 N48742 N49491 N64273 N6939 N9674
U10565	N51706 N64273
U10566	N32069 N37377 N37889 N38138 N49990 N54594 N63642 N8148 N8559 N871
U10567	N53585
U10570	N19152 N40716 N48925 N51692 N54834 N63074
U10571	N21460
U10572	N47525 N8148
U10577	N27938
U10578	N14825 N17662 N21215 N22164 N2288 N26272 N31372 N38701 N41464 N43512 N54125 N55687 N63970 N8148
U10582	N35729
U10583	N14761 N18378 N19347 N21782 N22344 N22354 N23414 N27447 N32691 N47508 N4763 N57485 N58641
U10584	N3930 N53585
U10585	N11701 N23414 N25258 N28801 N31138 N32874 N33617 N3491 N3500 N41881 N47525 N51983 N55043 N60895 N6778 N6890
U10587	N8789
U1059	N50027 N63970
U10592	N15855 N19823 N27526 N41840
U10598	N23414 N871
U10599	N3471
U106	N3500
U1060	N48742 N7422
U10602	N23414 N27869 N34444 N60364
U10603	N41881 N53585
U10604	N13698 N13826 N14340 N36271 N37586 N3930 N40555 N41881 N49699 N52784 N60550 N63971 N871
U10607	N64734
U10611	N43670 N55204 N64513
U10612	N19347 N27526 N32643 N3491 N38138 N55582 N61022
U10617	N13836 N3395
U10618	N10821 N18285 N45523 N49145 N55043 N59769 N63835 N64273
U10623	N1581 N25109 N38701 N42528 N48742 N49987 N53118 N55043 N63970 N64273 N65039
U10624	N33828 N3841 N58871
U10626	N15655 N15855 N21771 N54125
U10628	N32203 N48077
U10629	N22404
U10630	N17498 N3086 N34671 N35607 N47814 N54150 N56736 N60402
U10631	N19347 N19638 N25258 N31057 N31177 N31883 N47525 N4770 N4932 N51692 N51706 N58871 N59295 N60128 N7649
U10633	N11726 N12245 N1699 N22969 N27516 N31895 N4187 N42947 N4770 N64196 N65185
U10634	N22164 N36739 N53585 N6693
U10635	N10812 N12142 N12375 N15855 N17109 N17990 N18106 N20495 N25109 N25158 N26625 N267 N32691 N36751 N38197 N39430 N40716 N42528 N43263 N44324 N4531 N45523 N47508 N48325 N48699 N48742 N49088 N51692 N52026 N53354 N56586 N56889 N57886 N5828 N58641 N60137 N60932
U10639	N14417 N3491 N37586 N41224 N46301 N58871
U10640	N53585 N54842 N5560 N7422
U10643	N44251
U10647	N23370 N25471 N37009 N43436 N55897
U10648	N54842
U10649	N11243 N17099 N60895 N63741 N871
U1065	N27249 N28159 N29594 N37378 N41881 N62342
U10651	N51187 N60851
U10652	N21215 N38701 N51388
U10655	N41881 N45828 N8148
U10656	N12493 N13836 N28467 N31528 N50513
U10660	N23547 N41633 N59470
U10661	N16804 N29340
U10662	N55605
U10665	N22880 N34998 N39269
U10668	N23547
U10671	N18087 N24736 N45609 N48925
U10672	N32485
U10673	N19005 N21019 N40555 N43487 N47525 N48284 N59688 N65039
U10680	N28538 N43674 N6197
U10683	N17000 N25258 N3908 N45020 N55204
U10684	N14689 N22344 N31099 N37748 N47525 N48742
U10686	N25226
U10687	N26714 N31213 N38330
U10688	N25985 N42137 N51706 N65185
U10689	N36751 N64273
U10690	N16215 N21122 N3500 N39930 N45523 N58264
U10694	N18587 N21383 N22260 N24897 N32069 N35729 N45896 N47556
U10696	N1914 N22880 N37377 N39587 N61032
U10697	N55043
U10698	N13485 N18251 N2554 N31147 N37800 N45971 N58113 N9158
U10699	N2078 N3501 N44251 N6225
U10700	N22344 N25158 N35729 N40658 N41298 N50778 N61997
U10702	N61022 N61880
U10703	N1670 N35305 N37009 N40552 N40839 N58641 N58871 N59443 N61404 N63906 N8085
U10704	N21383 N28058 N35305
U10708	N11228 N16711 N2078 N22260 N41439 N48615 N52684 N54842
U1071	N17031 N19823 N22126 N29415 N34069 N3500 N42362 N53585 N60364 N62634
U10710	N35729 N37889 N48742
U10711	N56889
U10714	N62620
U10715	N19347
U1072	N33710 N42457
U10722	N25608 N3259 N40839 N51706 N53585 N56889
U10725	N10897 N12493 N25173 N27096 N36751 N43903 N4936 N5277 N7879 N8855
U10729	N17196 N19397 N21018 N21460 N30867 N45291 N51983 N61103 N7649
U10731	N19347
U10732	N23942 N64273
U10736	N14761 N49145 N53393 N61880 N63376 N8572
U10738	N14191 N17070 N1940 N28058 N36739 N42962 N54834 N54974 N63906
U10739	N35729
U10740	N40442 N42749 N51706 N61022
U10741	N20530 N23349 N35729 N43955 N51289 N58641 N61959 N63741 N7574 N871
U10742	N10235 N11285 N15655 N18942 N19131 N30144 N31177 N37377 N43224 N46357 N50778 N53639 N55497 N64137 N64587 N8148 N8907
U10745	N63582
U10747	N10897 N12709 N14340 N15254 N18069 N18404 N19982 N2078 N22679 N24421 N26714 N28159 N2856 N3259 N3500 N36132 N37108 N37377 N37811 N38032 N39498 N39677 N41881 N44251 N44361 N4770 N48969 N5104 N51289 N51692 N51706 N51819 N53585 N56353 N56502 N57273 N58641 N59852 N62395 N6249 N62609
U10749	N41661 N51983 N53585
U10756	N6225
U10758	N8148
U1076	N13303 N25113 N25761 N37242 N38197 N41578 N42528 N44361 N48077 N51706 N53585 N55042 N55043 N55949 N61032
U10760	N18714 N19411 N20434 N20495 N20824 N24935 N25811 N26721 N27096 N27263 N2937 N30989 N34574 N40442 N43703 N4770 N47938 N52123 N52626 N52962 N53419 N54469 N54842 N5791 N58241 N61022 N62634 N888
U10761	N3259
U10762	N60550
U10765	N10559 N53585
U10766	N11568 N18285 N31057 N4510 N4770 N56862
U10768	N27526 N46990 N48699
U10769	N15540 N35729 N53470
U1077	N22499
U10770	N32641 N32866
U10773	N51706 N54842
U10774	N4936
U10779	N14742 N5270
U10783	N20495
U10784	N2078 N22471 N27096 N27526 N3259 N36271 N36780 N46984 N54842 N62009 N6890 N871
U1079	N45523
U10792	N19347 N31057 N42457 N46301 N48233 N53585 N63970
U10794	N40716 N54522
U10795	N11484 N15034 N16130 N16199 N17498 N1789 N20495 N20917 N22525 N22852 N24560 N25889 N26009 N26349 N27864 N28467 N2994 N31099 N32906 N33226 N35607 N37748 N3841 N41328 N42610 N42803 N44361 N48699 N51692 N51706 N5277 N53987 N55042 N57012 N60550 N60587 N62306 N871 N9377 N9854
U10798	N22260 N49032 N6253
U10799	N42726 N47889 N57912
U108	N28279 N34004
U1080	N36229 N58724 N63906
U10801	N27608
U10805	N42137
U10807	N45146
U10808	N10235 N2823 N29128 N62290
U1081	N10136 N48742 N51706 N52136 N5277 N54842 N55042 N58641 N8148
U10813	N1914 N48672
U10817	N45523
U10822	N10575 N18697 N25113 N25699 N36883 N37120 N3841 N52121 N53057 N60550 N61449 N8957
U10824	N16215 N23538
U10829	N37377
U1083	N26009 N28058 N32098 N3259 N4770 N55043 N62290 N63034
U10835	N40442
U10839	N21519 N60186 N63405
U10840	N32069 N38505
U10843	N25534 N35729
U10846	N36780 N64408
U10849	N19638 N22705 N27526 N32754 N36691 N40839 N50214 N51983 N53585 N56502 N57351 N60615 N7649
U10850	N22260 N27341 N5104 N7422 N7535
U10851	N3395 N39986
U10853	N1622 N25981 N447 N64141 N64513
U10855	N23414 N23554 N64273
U10856	N21383 N34497
U10857	N45523 N46681 N48325
U10859	N10843 N21685 N22880 N3500 N39978 N40453 N44251 N45523 N54003 N63970 N8834
U1086	N21579
U10862	N41881 N65185 N8148
U10863	N43979
U10865	N33964
U10866	N15394 N3395 N34561 N38197 N56586
U10868	N32662
U10869	N21297 N35729 N39495
U1087	N60833 N8148
U10873	N18005 N24421 N2599 N26714 N29849 N3500 N60615
U10877	N18378 N19638 N48699 N64163 N64273
U10878	N36227 N3820 N39263
U10882	N10986 N22880 N35729 N44251 N55897 N57457
U10883	N24614
U10884	N23942 N45523
U10886	N27464 N35729 N37811 N43955
U10887	N10235 N19716 N21981 N32682 N45282 N48284 N50513 N63970 N6857 N8834
U10888	N63970
U1089	N15803 N25997 N63815
U10894	N39978 N42137 N57886
U10896	N14059 N25986 N3501 N36849 N43635 N5104 N51347
U10902	N32010 N52679 N62009 N62634
U10904	N23370 N53382
U10906	N3491
U10909	N37242 N64955
U10910	N27608
U10911	N32109 N38159 N40442 N48779 N57181 N61997 N63054
U10915	N40254 N54834 N63970
U10916	N10235 N14689 N14761 N15147 N21178 N22354 N27526 N2782 N3491 N36780 N39677 N41380 N4255 N48912 N64358 N8179
U10917	N38947
U10918	N46301 N53585
U10920	N17196 N20248 N30867 N3280 N4255 N48682 N58764 N7879 N8275
U10921	N43487
U10925	N44251 N45807
U10926	N3491 N48925 N60540
U10927	N11273 N19975 N40716
U10928	N15394 N57934 N871
U1093	N20342 N22273 N30190 N31551 N40516 N48742 N50060 N52447 N7333
U10930	N47889
U10931	N1825 N23732 N32074 N3309 N40716 N48325 N49699 N54842 N61404 N63970
U10932	N41578
U10933	N12194 N59761
U10934	N20824 N3900 N61214 N63970 N7535
U10936	N11405 N11418 N15523 N17109 N18867 N2486 N25608 N29924 N43353 N44361 N45846 N4763 N5270 N61869 N61997 N9892
U10937	N5290
U10939	N30867
U1094	N17990 N22705 N38197 N48890 N53354 N58227 N871
U10940	N10575 N11484 N14742 N1581 N17498 N17990 N28058 N37033 N3841 N49088 N57886 N60364 N871
U10941	N13139 N14742 N2599 N38138 N38215 N3970 N42137 N58641 N9854
U10942	N13429 N14340 N20758 N29854 N31883 N34069 N35907 N36780 N37120 N41298 N54842
U10944	N11597 N15269 N25158 N3500 N42457 N43512 N45523 N45999 N53921 N56586 N5828 N63970
U10947	N2994 N41979 N42079
U1095	N14734 N24075 N8148 N8422
U10950	N14724 N20569 N21119 N3309 N35905 N40839 N50377 N51702 N51876 N6103
U10954	N13710 N13836 N21393 N2375 N25226 N30303 N30884 N41276 N42314 N53216 N58200 N58368 N59822 N59922 N63180
U10959	N35854
U10961	N44688 N55975
U10962	N20342
U10963	N44251
U10964	N14185 N45020 N63970
U10969	N14761 N15147 N22260
U1097	N11480 N13429 N18750 N21771 N219 N24689 N26659 N30388 N31224 N3491 N51111 N51347 N53696 N55776 N57582 N5902 N59285 N61120
U10970	N24267 N35550 N43635 N51740 N56155 N63970 N64734
U10972	N15765 N32866 N40839
U10973	N21771 N27526 N32098 N40716 N44251 N55937 N5967
U10974	N40839 N57582
U10976	N22499
U10979	N18285 N40716 N63180 N7376
U1098	N12493 N14417 N14724 N15034 N15462 N15464 N19353 N19542 N20569 N2189 N23394 N23414 N23652 N261 N27464 N27581 N31090 N3142 N3259 N34564 N34998 N3500 N37857 N40442 N41298 N42726 N43353 N43488 N44251 N44361 N46157 N48259 N48699 N48742 N51182 N51706 N52946 N53465 N54980 N55043 N58113 N58641 N62009 N6225 N63970 N64273 N6890 N8148 N871
U10980	N11940 N2078 N3259 N3841 N60550
U10982	N30867
U10983	N49100
U10984	N17115 N20392 N23305 N35052 N41561 N53393
U10987	N19974 N34848
U10988	N10575 N23354 N3458 N50538 N53585
U10989	N41881 N44324
U1099	N15817 N18378 N23547 N28576 N30303 N37811 N38367 N40716 N42528 N54834 N6471
U10991	N49262
U10996	N57886
U10998	N10235 N12047 N14191 N33375 N40628 N42994 N51706 N60004 N60895
U110	N14185 N14340 N19318 N22499 N27907 N31895 N33617 N36251 N4485 N54842 N55043 N58641 N58871 N64118 N64597
U11004	N38701 N41881 N48077
U11005	N38197 N49009
U11006	N32101
U11007	N17109 N22471 N3259 N4936
U11008	N17109 N22499 N38159 N56889
U11009	N10897 N11788 N14761 N19638 N25889 N28702 N33617 N35890 N39179 N45519 N47378 N48699 N51616 N62395
U11010	N14306 N20342 N28576 N29468 N33170 N37811 N51706 N54980 N56306 N58264 N62247 N64408
U11014	N11699 N14724 N19236 N19318 N23380 N27581 N3086 N3259 N35729 N46655 N48124 N52500 N58641 N61869
U11016	N2511
U11017	N42965 N5075 N51706 N63273 N64273
U11019	N27581
U11024	N12805
U11027	N41881 N42965 N48411 N53585 N55572
U11029	N10559 N13429 N29849 N58764
U1103	N10812 N15855 N25158 N38197 N42457
U11034	N55497
U1104	N10575 N19638 N31883 N35607 N4763 N48925 N50060 N52121 N53435 N55042 N61022 N64955
U11041	N40973
U11042	N31224 N7376
U11043	N35729 N41298 N43436 N48615 N57754 N58823 N7328
U11049	N10812 N38701 N51983 N53585 N60364 N64273 N9674
U1105	N20495 N31090 N32891 N55042 N871
U11052	N5301 N5683 N63970
U11053	N40716
U11054	N12859 N13094 N33617 N37378 N37632 N47525 N51706 N64955
U11057	N25258 N50701 N54347 N63873
U11058	N22471 N29197 N31147 N38701 N42528 N57147 N62318 N63815 N64273
U11059	N40716 N871
U1106	N54073 N63970
U11061	N16533 N27526 N3491 N35729
U11062	N53550
U11064	N19347
U11067	N2937 N48742 N5290 N58615
U11068	N10897 N18587 N51388
U11069	N24161 N6693
U11072	N2078 N44251 N53585
U11073	N40555 N40839 N53585 N63970
U11074	N10897
U11075	N12194 N34399 N3541 N5683 N7754
U11079	N54842 N63970
U11080	N6471
U11084	N49262
U11085	N3491
U11086	N19638 N25778 N37739
U11087	N40442 N63970
U1109	N21659 N8316
U11092	N14742 N15034 N34997 N51692 N64273
U11093	N32874 N63491
U11094	N57993
U11096	N10559 N31960 N35729 N54497 N64706
U11099	N41979 N55949 N60933
U11101	N23414 N3908 N60550
U11103	N6890
U11105	N41881 N8148
